Zip Code,Lat,Lon,Schools in Area,Schools in Zip Code
49033,42.2322653,-85.1069293,20,5
23840,37.0796681,-77.58165813825764,19,0
47971,40.5642639,-87.24186921100292,17,2
47963,40.94325535,-87.45171335990047,16,2
47273,38.9824881,-85.73881821418561,18,0
48649,43.18949405,-84.13037780676123,19,1
24549,36.7062485,-79.5225282,15,2
47220,38.8264435,-86.0199787,18,1
48747,43.4894674,-83.7383002,19,3
22853,38.62672175,-78.77373788600865,18,1
47598,38.3858831,-87.2122308,17,1
47633,38.1411179,-87.8011518,14,3
22969,37.8214479,-78.59545427687053,20,0
48615,43.41546315,-84.47678734705377,20,2
24070,37.2824084,-80.14041192267408,15,0
24067,37.0120823,-80.047537,16,1
48873,43.0004886,-84.85339475671373,18,1
25401,39.4520847,-77.97564796084586,17,9
35989,34.5642511,-85.6144098,17,1
35978,34.6342507,-85.7685825,18,2
35971,34.4492549,-85.9041396,17,2
35962,34.3628687,-86.1413668,16,1
35760,34.5406452,-86.3983197,19,1
36110,32.4187482,-86.2791356,18,10
36703,32.4201363,-86.9674884,17,6
36260,33.615218150000004,-85.96460977813814,20,2
36201,33.6548256,-85.8619103,17,11
35087,34.2978726,-86.5586023,17,2
35083,34.2023183,-86.5713804,18,2
31028,32.6290339,-83.689073,14,1
34987,27.27524725,-80.43298504602524,19,1
34972,27.3036554,-80.8200604,16,8
31097,32.9423527,-84.2549179,16,0
98923,46.6748446,-120.71305179618805,13,2
35748,34.70343185,-86.37475374829299,18,4
30641,33.7734515,-83.6010016,17,1
35619,34.4159297,-87.0947345,19,5
35228,33.4504376,-86.91520229410261,20,9
35207,33.558745900000005,-86.82588255205897,16,3
35224,33.5212174,-86.933882,19,8
98857,46.9620869,-119.0419528,11,3
98858,47.6452552,-120.0693563,12,2
38581,35.7395133,-85.6624798,19,2
38562,36.3478371,-85.6571999,16,5
39044,32.0612642,-89.9934152,18,0
38751,33.4553786,-90.65394792952776,20,17
38456,35.3356343,-87.2733476,14,2
38356,35.5067429,-88.8706147,19,1
39652,31.1488783,-90.46481049994313,20,3
39573,30.6104698,-89.2225482,18,1
39083,31.8593271,-90.391481,19,3
30182,33.6348308,-85.1866148,19,0
39209,32.3301454,-90.2428674,18,15
39213,32.352367,-90.2239779,16,12
37391,35.1273002,-84.3546452,16,3
37737,35.761688050000004,-84.1306361273846,19,3
37748,35.9272973,-84.5321572,17,8
37352,35.2875797,-86.3727699,20,2
37191,36.5447712,-87.4914005,17,1
37342,35.4092449,-85.9713725,19,3
38057,35.0812006,-89.3903514,15,4
37853,35.8239721,-83.9421262,19,2
37882,35.6745323,-83.7551727,18,1
37863,35.7893458,-83.56208491774487,14,1
33332,26.0736105,-80.4025511938641,18,4
32466,30.36602215,-85.44117108511276,20,1
32254,30.34200625,-81.72484800274842,15,10
33498,26.38550035,-80.22415669903103,19,4
33576,28.3344477,-82.2720307,19,1
33573,27.73916295,-82.36752980605343,19,2
33572,27.7759005,-82.40190824100313,19,5
33437,26.5141977,-80.14172762020914,20,6
33483,26.4625,-80.0775,20,2
32811,28.516618200000003,-81.45316542719056,19,5
32626,29.480202,-82.8705312802833,20,4
33160,25.9498833,-80.1362161,20,2
32617,29.289295600000003,-82.11025898934955,19,3
32603,29.65667745,-82.35050280899787,20,1
33180,25.965,-80.1419444,20,16
32668,29.3686523,-82.45065985799718,19,0
33067,26.29903625,-80.23833414400082,19,5
33579,27.80037365,-82.32308155891702,18,3
34436,28.7405437,-82.2753686,19,3
34429,28.8988681,-82.5884343,20,3
99169,47.1259836,-118.3699745,6,2
34286,27.05662015,-82.19004373155282,19,2
34449,29.037401799999998,-82.69074167308428,20,0
34285,27.09355025,-82.44022485373341,17,4
31555,31.6691465,-82.0306193,16,1
34229,27.1865252,-82.47954044498053,20,1
34219,27.58129225,-82.43933016671801,17,1
34210,27.46701425,-82.61740737010766,16,2
34233,27.2746795,-82.47078474071047,19,6
34266,27.2078274,-81.8698056,20,5
34242,27.285881,-82.5603758,18,1
34275,27.135588,-82.42632996993197,20,1
34482,29.15352095,-82.24974179309513,19,0
34748,28.8024898,-81.8900807,20,15
34734,28.5399834,-81.53629590603511,20,2
34950,27.44402285,-80.33448095498142,18,5
34785,28.855431699999997,-82.03233472834668,19,3
34759,28.112790750000002,-81.4605627313019,13,3
34758,28.2327965,-81.49058059482113,16,5
34653,28.241168000000002,-82.68923976955506,20,9
34690,28.1899,-82.7245,20,4
31321,32.1493602,-81.6093945,10,4
98943,47.195982900000004,-120.93545805,9,0
33647,28.1315086,-82.3691246,14,7
32148,29.634135,-81.8850907,17,3
33711,27.750157199999997,-82.68714789065058,19,5
32189,29.637641549999998,-81.65528617062486,17,0
33873,27.542844549999998,-81.8202240900851,20,5
33853,27.89488695,-81.56725512167341,15,4
33850,28.08907225,-81.72199666933435,17,2
33946,26.91411115,-82.28700567522371,15,0
34202,27.4292778,-82.43471513705612,19,3
33983,26.98639285,-82.0108620452229,18,1
33955,26.9246013,-82.01763694668296,16,0
33950,26.92689165,-82.03702027599394,18,7
33947,26.914767050000002,-82.28412811236065,15,1
33839,27.9772453,-81.7542465,20,4
32113,29.3396776,-82.10313396599135,19,0
33785,27.8684442,-82.82718435,19,1
33812,27.9648365,-81.8839561360571,19,0
45148,39.30082025,-83.96739320417589,19,3
28339,35.3257182,-78.6702944,18,3
28384,34.8073863,-78.9622513,18,5
28467,33.94751345,-78.54830927440547,14,0
44880,41.0297772,-82.2182141,18,2
28470,33.9650341,-78.38859913091682,16,1
44867,41.1208884,-83.0149137,17,1
28462,33.9776721,-78.308056,17,2
45167,38.74778775,-83.84292079829697,19,3
28018,35.4525251,-81.81200927353873,18,2
27891,36.1159861,-77.7633103,18,2
27880,35.7537682,-78.0605453,20,2
45204,39.106427100000005,-84.5616941905433,20,1
45214,39.1154046,-84.53046233118815,19,3
44454,40.9541773,-80.54756090005989,18,1
44450,41.4639443,-80.8714768,15,1
44449,41.0250582,-80.9514782,19,0
44438,41.2200563,-80.5222934,20,4
44504,41.123024,-80.64724149816962,19,2
44307,41.0720407,-81.5396705,17,5
44417,41.4614439,-80.667856,13,1
44402,41.38576125,-80.862652160052,14,1
44401,41.0250582,-80.9514782,19,0
28636,35.90713175,-81.08907439960939,20,2
28513,35.47193345,-77.43358944954196,20,4
28604,36.1979053,-81.788166,17,1
44625,40.748644799999994,-81.04074289225747,19,2
28635,36.282593899999995,-81.0977475665842,20,2
45312,40.053944,-84.1229961,19,1
46057,40.3289255,-86.3911096,17,3
27207,35.6137562,-79.3900212,17,2
27043,36.328194,-80.4370006,19,2
27208,35.56248645,-79.54573480011072,18,1
46340,41.4648946,-86.8162409,20,0
27617,35.9181961,-78.79413639389017,20,4
45402,39.7622949,-84.18649776767334,17,5
45416,39.7992156,-84.26268580173279,18,2
45337,39.981687300000004,-84.48103185227473,16,1
45346,39.9647713,-84.711624,17,1
45845,40.3452952,-84.36326577092278,17,2
27544,36.2423291,-78.4300697,19,2
27559,35.6318177,-79.0777935,19,1
45612,39.0986797,-83.242964,15,1
98377,46.438256499999994,-121.84770925642206,2,1
27581,36.1377206,-78.7590655,17,0
27569,35.46826405,-78.15585445382197,19,2
45656,38.8364655,-82.5971066,17,5
41164,38.2950807,-83.2807357,12,0
42567,37.281468,-84.6016098,12,9
43008,39.9589527,-82.4965457,20,0
29676,34.8858074,-83.0158955787306,18,0
29686,34.8858074,-83.0158955787306,18,1
29689,34.56239945,-82.90428717337127,19,1
29920,32.4014516,-80.5613227,20,2
29926,32.2160381,-80.7445524,19,7
29692,34.393301,-82.23878050638129,18,3
41095,38.784986,-84.88983127258945,20,3
40337,37.946192,-83.8363074,16,3
30104,34.16234085,-84.88024906484154,17,1
30105,34.4417022,-85.151647,18,2
40360,38.1179456,-83.7221259,17,0
30139,34.43983059999999,-84.69698505396977,18,1
41080,39.09716965,-84.8507940870453,19,2
40962,37.15787625,-83.7650061244892,14,11
40906,36.8711175,-83.88222382400363,14,3
40769,36.7384168,-84.1618783,10,4
29374,34.8317652,-81.8698641198248,20,0
44112,41.5294842,-81.5842939,20,7
44105,41.4494017,-81.6295163,17,17
29335,34.7309329,-82.01234632427713,20,0
29448,33.2071073,-80.4320409,19,3
29429,32.9896156,-79.6436847,15,2
44085,41.6631107,-80.8581437,16,0
28761,35.7017229,-81.9128469,20,3
01266,42.3307,-73.334,19,0
28751,35.4909367,-82.9920811,20,0
01267,42.71566715,-73.19707010616236,18,5
44214,40.9867226,-81.9934794,17,1
43521,41.665229100000005,-84.32242077258584,16,1
43457,41.273178349999995,-83.32529699568659,16,0
43456,41.6500233,-82.82078510806569,18,1
43549,41.35268965,-84.55198229512007,18,0
29643,34.580156,-83.02147520387382,19,0
43343,40.2994959,-83.9710495,18,1
43337,40.6481766,-83.17539760696306,19,3
29492,32.9134432,-79.860583,18,7
43945,40.6231179,-80.8386942,18,4
29470,32.770732,-80.2134308,18,3
29477,33.1884958,-80.5742644,19,14
29568,33.8566646,-78.7581219,11,3
43837,40.3311794,-81.5192841,20,2
43821,40.1208329,-82.0051941,19,1
43771,39.862006550000004,-81.91145785310377,19,2
29544,33.9910437,-79.2032795,13,4
12173,42.3538889,-73.8025,19,0
12151,42.93310435,-73.81147886070188,18,0
84722,37.5647872,-113.71501139207362,15,0
85253,33.5654544,-111.95905765712013,17,5
85138,33.05969985,-111.95498354803831,16,8
85131,32.7598478,-111.5599933,11,4
85118,33.3428257,-111.42786,18,3
85173,33.2948858,-111.09921571620313,19,4
12067,42.577356699999996,-73.9537780078213,19,0
83811,48.1468718,-116.1757308,13,2
12583,42.0254975,-73.9024779,18,0
83872,46.9124906,-117.0710797,13,0
83429,44.6658782,-111.10785774686381,1,0
83420,44.07264565,-111.43834878512864,13,2
83334,43.0529616,-114.1575354,11,0
12827,43.4102775,-73.49143082911161,19,3
12817,43.6495108,-73.8023485,10,1
83628,43.618214,-116.9301486,14,3
83626,43.6707966,-116.82149809998153,15,4
83622,44.092394,-115.9523417,9,5
12516,42.164909,-73.5177616,20,0
84314,41.6363199,-112.0777267,10,1
84098,40.720387,-111.5400943,16,7
84055,40.64177015,-111.27290137049961,15,0
89510,39.5096334,-119.7846345,8,7
89143,36.320358999999996,-115.29968144845387,16,0
90068,34.1138032,-118.3349472,19,2
90245,33.9247393,-118.41415256243585,20,8
10969,41.2958333,-74.4591667,18,1
90232,34.0221334,-118.3925612467729,19,6
90036,34.0691768,-118.3459102,20,8
89081,36.2705556,-115.1064439599673,11,1
85623,32.61682515,-110.80180020910134,16,2
11958,41.0437115,-72.45703,17,0
85363,33.59861495,-112.31149101894084,20,1
85342,33.85549035,-112.62149685228117,18,1
85611,31.6581042,-110.6015453,16,1
88044,32.122056,-106.7077674,19,2
83286,42.108278,-111.99055739174234,9,0
78207,29.4228178,-98.5247427,20,19
78152,29.4160677,-98.2058434,18,2
77587,29.658387750000003,-95.24022376890687,20,7
14437,42.561663100000004,-77.70136015860012,17,1
78619,30.1774276,-98.0844842,19,0
78615,30.4946468,-97.4552777,15,2
78623,29.93536485,-98.29836587255892,19,0
78653,30.3415178,-97.55024222575256,17,5
14423,42.9127778,-77.7447222,13,0
78224,29.34257695,-98.5399179528371,20,10
78248,29.58755605,-98.53191945233445,20,1
14892,42.013883500000006,-76.5313490615368,20,5
14901,42.0905556,-76.8036111,19,9
77066,29.96004275,-95.49798870182113,20,7
77057,29.7491923,-95.49118647633219,19,6
14843,42.3266364,-77.653726,16,6
77098,29.7313,-95.4193,20,5
14810,42.3436705,-77.32641168963247,19,5
77085,29.661641,-95.50239085131241,20,2
15059,40.6428431,-80.4558994,16,8
15062,40.151275749999996,-79.8877560394576,20,10
77049,29.81858,-95.19313050212534,18,7
15026,40.5450671,-80.3275624,16,1
77450,29.75752155,-95.73564534912026,20,15
77506,29.70007485,-95.2000052578513,19,11
14546,43.0261021,-77.76317049326119,14,2
77362,30.1289106,-95.6600239987431,17,0
77396,29.953518799999998,-95.28693855842755,19,5
14611,43.14737855,-77.63885090422936,19,8
77388,30.0519132,-95.46093753166556,19,7
13110,42.9311776,-76.2052045,19,0
13204,43.0437915,-76.1736316,19,10
81427,38.1536018,-107.764782,5,0
80728,40.64766555,-102.6302767187292,8,0
14103,43.2227778,-78.39,19,4
78726,30.417259950000002,-97.85381702689583,19,1
78717,30.49762575,-97.77277754660787,19,4
78704,30.247050899999998,-97.76469472493082,9,9
14209,42.91480195,-78.8607851002852,19,12
78738,30.327410999999998,-97.96877891702545,18,6
78737,30.2314196,-97.912769,19,4
13424,43.1619444,-75.34,20,3
14028,43.3220004,-78.7069788,19,1
14048,42.48009595,-79.3359916788088,20,13
13865,42.0663889,-75.6425,13,1
14005,42.8655556,-78.2794444,20,0
10922,41.3343031,-73.98590560185387,19,1
94515,38.57893355,-122.58326451420442,17,3
94508,38.5702492,-122.4404486,15,2
94539,37.506196,-121.92651243002751,20,7
04344,44.2674637,-69.7996304,17,2
94087,37.3540092,-122.0347453650267,20,13
94086,37.369171449999996,-122.0239914357775,20,5
94070,37.49616215,-122.26739759790178,19,9
96704,19.450501,-155.8789986,10,1
94707,37.8992593,-122.2877133,20,11
94705,37.857695899999996,-122.26274836617831,20,9
94563,37.897664649999996,-122.20619589543234,18,6
03743,43.3689625,-72.3373115,19,11
03462,42.8867483,-72.4695328,19,0
05738,43.525125349999996,-72.83064745427319,18,1
05751,43.64406305,-72.7936773073179,18,2
93609,36.5389557,-119.83900600687936,6,4
93604,37.33578215,-119.58017569376429,13,1
94002,37.514307450000004,-122.29249308961673,16,14
05262,42.94507285,-73.20835222088347,20,3
94010,37.5793804,-122.3563599,18,6
05161,43.2667413,-72.8570438,18,1
05037,43.46972475,-72.47053680418698,19,1
94041,37.38800485,-122.07144085319555,20,7
05060,43.9288616,-72.6650647,20,10
94038,37.5442154,-122.50784689950805,16,0
03255,43.3322982,-71.9545271,19,0
05477,44.4120937,-72.99306256844682,18,2
03253,43.6000754,-71.5178522,17,2
02540,41.55925515,-70.6055784221482,19,3
95664,38.7993458,-120.8885492,18,0
95651,38.7993458,-120.8885492,17,0
95641,38.1613059,-121.6091206,18,1
95469,39.2667982,-123.21139230984747,17,0
95612,38.4171318,-121.5285661,14,2
95485,39.1653185,-122.90541504999999,20,5
95919,39.4712773,-121.2716284,17,1
02657,42.0516206,-70.19114640458224,18,1
02493,42.36152745,-71.29551571114673,18,9
95070,37.283204049999995,-121.99834676937184,19,11
94938,38.0165895,-122.674707,18,0
94925,37.939152899999996,-122.5315476543177,20,0
96146,39.205322100000004,-120.20487622150475,16,1
02881,41.4818,-71.5302,19,8
95421,38.5393847,-123.09182661825422,18,1
94904,37.9521389,-122.53909170445607,20,5
95135,37.31067835,-121.7619037163769,20,3
95129,37.3037979,-121.99804851939545,20,14
02534,41.6567741,-70.5753073,20,0
08104,39.8584849,-75.0334825,18,0
92014,32.953817799999996,-117.2462663773838,16,4
92011,33.10425035,-117.27710632443035,20,6
08020,39.7886454,-75.2429077,19,0
91905,32.6677225,-116.2956871,17,1
92007,33.031037749999996,-117.27442548551353,20,9
97011,45.343327,-121.9756337,19,0
08750,40.1281743,-74.0490479,19,1
08542,40.3583924,-74.6645085,19,1
08609,40.2190125,-74.74176407302753,20,5
96813,21.30340865,-157.8578777471614,20,4
93110,34.4424975,-119.7623608,11,9
92210,33.732116500000004,-116.35859979915536,18,4
07921,40.6448979,-74.6484354,19,2
92130,32.9420893,-117.2206393092647,13,11
92363,34.8288933,-114.6099647,16,8
01531,42.317572150000004,-72.12185559460704,20,2
20618,38.3059613,-76.7963568,19,0
20197,39.1878065,-77.60569171043551,18,1
20674,38.1423495,-76.506621,17,2
60034,42.4644235,-88.4293835,14,2
20037,38.8979479,-77.0481676,19,1
55965,43.71694135,-91.97547290633165,12,0
56264,44.4521402,-95.78123804461558,11,0
56087,44.291730900000005,-94.72924438654195,7,0
20751,38.7789729,-76.55243238119428,18,3
55951,43.56839265,-92.71732380235696,15,0
55910,44.0982482,-91.82107524233287,7,0
56683,47.5652136,-94.73821562778689,12,0
56628,47.7453106,-93.6501708,1,1
57012,43.5219246,-97.1497806,14,2
56324,46.2836615,-95.7209286,4,0
56289,45.1178612,-95.05344,7,0
56466,46.3278035,-94.28072075910147,2,0
56450,46.18117335,-93.75323760006904,7,0
60922,40.9991991,-87.9158744,19,1
61348,41.2955905,-89.0634156,18,3
61329,41.3779931,-89.21691757769293,19,1
61283,41.6077282,-89.68851275032287,16,0
19107,39.9502748,-75.15244060444599,20,4
61486,41.20028325,-90.58057548310549,16,1
61430,40.93487535,-90.34691506700304,17,0
61428,40.9533711,-90.1842881,18,0
61257,41.618872100000004,-90.26883442238778,19,0
61256,41.55427895,-90.4128560391919,18,1
61235,41.415393550000005,-90.01795338483602,19,1
19121,39.97989975,-75.16538670369019,19,16
60426,41.61446825,-87.65189480750908,19,18
